Role,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,Performance
Explane,high,NaN,high,high,NaN,low,NaN,good
Explane,high,NaN,high,high,NaN,medium,NaN,good
Explane,high,NaN,high,high,NaN,high,NaN,good
Goldlane,low,low,NaN,NaN,low,NaN,low,bad
Goldlane,low,low,NaN,NaN,low,NaN,medium,bad
Goldlane,low,low,NaN,NaN,low,NaN,high,bad
Goldlane,low,low,NaN,NaN,medium,NaN,low,bad
Goldlane,low,low,NaN,NaN,medium,NaN,medium,decent
Goldlane,low,low,NaN,NaN,medium,NaN,high,bad
Goldlane,low,low,NaN,NaN,high,NaN,low,bad
Goldlane,low,low,NaN,NaN,high,NaN,medium,bad
Goldlane,low,low,NaN,NaN,high,NaN,high,good
Goldlane,low,medium,NaN,NaN,low,NaN,low,bad
Goldlane,low,medium,NaN,NaN,low,NaN,medium,decent
Goldlane,low,medium,NaN,NaN,low,NaN,high,bad
Goldlane,low,medium,NaN,NaN,medium,NaN,low,decent
Goldlane,low,medium,NaN,NaN,medium,NaN,medium,decent
Goldlane,low,medium,NaN,NaN,medium,NaN,high,decent
Goldlane,low,medium,NaN,NaN,high,NaN,low,bad
Goldlane,low,medium,NaN,NaN,high,NaN,medium,decent
Goldlane,low,medium,NaN,NaN,high,NaN,high,good
Goldlane,low,high,NaN,NaN,low,NaN,low,bad
Goldlane,low,high,NaN,NaN,low,NaN,medium,bad
Goldlane,low,high,NaN,NaN,low,NaN,high,good
Goldlane,low,high,NaN,NaN,medium,NaN,low,bad
Goldlane,low,high,NaN,NaN,medium,NaN,medium,decent
Goldlane,low,high,NaN,NaN,medium,NaN,high,good
Goldlane,low,high,NaN,NaN,high,NaN,low,good
Goldlane,low,high,NaN,NaN,high,NaN,medium,good
Goldlane,low,high,NaN,NaN,high,NaN,high,good
Goldlane,medium,low,NaN,NaN,low,NaN,low,bad
Goldlane,medium,low,NaN,NaN,low,NaN,medium,decent
Goldlane,medium,low,NaN,NaN,low,NaN,high,bad
Goldlane,medium,low,NaN,NaN,medium,NaN,low,decent
Goldlane,medium,low,NaN,NaN,medium,NaN,medium,decent
Goldlane,medium,low,NaN,NaN,medium,NaN,high,decent
Goldlane,medium,low,NaN,NaN,high,NaN,low,bad
Goldlane,medium,low,NaN,NaN,high,NaN,medium,decent
Goldlane,medium,low,NaN,NaN,high,NaN,high,good
Goldlane,medium,medium,NaN,NaN,low,NaN,low,decent
Goldlane,medium,medium,NaN,NaN,low,NaN,medium,decent
Goldlane,medium,medium,NaN,NaN,low,NaN,high,decent
Goldlane,medium,medium,NaN,NaN,medium,NaN,low,decent
Goldlane,medium,medium,NaN,NaN,medium,NaN,medium,decent
Goldlane,medium,medium,NaN,NaN,medium,NaN,high,decent
Goldlane,medium,medium,NaN,NaN,high,NaN,low,decent
Goldlane,medium,medium,NaN,NaN,high,NaN,medium,decent
Goldlane,medium,medium,NaN,NaN,high,NaN,high,good
Goldlane,medium,high,NaN,NaN,low,NaN,low,bad
Goldlane,medium,high,NaN,NaN,low,NaN,medium,decent
Goldlane,medium,high,NaN,NaN,low,NaN,high,good
Goldlane,medium,high,NaN,NaN,medium,NaN,low,decent
Goldlane,medium,high,NaN,NaN,medium,NaN,medium,decent
Goldlane,medium,high,NaN,NaN,medium,NaN,high,good
Goldlane,medium,high,NaN,NaN,high,NaN,low,good
Goldlane,medium,high,NaN,NaN,high,NaN,medium,good
Goldlane,medium,high,NaN,NaN,high,NaN,high,good
Goldlane,high,low,NaN,NaN,low,NaN,low,bad
Goldlane,high,low,NaN,NaN,low,NaN,medium,bad
Goldlane,high,low,NaN,NaN,low,NaN,high,good
Goldlane,high,low,NaN,NaN,medium,NaN,low,bad
Goldlane,high,low,NaN,NaN,medium,NaN,medium,decent
Goldlane,high,low,NaN,NaN,medium,NaN,high,good
Goldlane,high,low,NaN,NaN,high,NaN,low,good
Goldlane,high,low,NaN,NaN,high,NaN,medium,good
Goldlane,high,low,NaN,NaN,high,NaN,high,good
Goldlane,high,medium,NaN,NaN,low,NaN,low,bad
Goldlane,high,medium,NaN,NaN,low,NaN,medium,decent
Goldlane,high,medium,NaN,NaN,low,NaN,high,good
Goldlane,high,medium,NaN,NaN,medium,NaN,low,decent
Goldlane,high,medium,NaN,NaN,medium,NaN,medium,decent
Goldlane,high,medium,NaN,NaN,medium,NaN,high,good
Goldlane,high,medium,NaN,NaN,high,NaN,low,good
Goldlane,high,medium,NaN,NaN,high,NaN,medium,good
Goldlane,high,medium,NaN,NaN,high,NaN,high,good
Goldlane,high,high,NaN,NaN,low,NaN,low,good
Goldlane,high,high,NaN,NaN,low,NaN,medium,good
Goldlane,high,high,NaN,NaN,low,NaN,high,good
Goldlane,high,high,NaN,NaN,medium,NaN,low,good
Goldlane,high,high,NaN,NaN,medium,NaN,medium,good
Goldlane,high,high,NaN,NaN,medium,NaN,high,good
Goldlane,high,high,NaN,NaN,high,NaN,low,good
Goldlane,high,high,NaN,NaN,high,NaN,medium,good
Goldlane,high,high,NaN,NaN,high,NaN,high,good
Roamer,low,low,NaN,low,NaN,low,NaN,bad
Roamer,low,low,NaN,low,NaN,medium,NaN,bad
Roamer,low,low,NaN,low,NaN,high,NaN,bad
Roamer,low,low,NaN,medium,NaN,low,NaN,bad
Roamer,low,low,NaN,medium,NaN,medium,NaN,decent
Roamer,low,low,NaN,medium,NaN,high,NaN,bad
Roamer,low,low,NaN,high,NaN,low,NaN,bad
Roamer,low,low,NaN,high,NaN,medium,NaN,bad
Roamer,low,low,NaN,high,NaN,high,NaN,good
Roamer,low,medium,NaN,low,NaN,low,NaN,bad
Roamer,low,medium,NaN,low,NaN,medium,NaN,decent
Roamer,low,medium,NaN,low,NaN,high,NaN,bad
